,id,player_name,games,time,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season,xGChain,xGBuildup
29,5356,Breel Embolo,28,1544,8,9.812687553465366,5,4.304039862006903,46,21,4,0,F M S,Borussia M.Gladbach,8,9.054917491972446,15.361881073564291,5.057912211865187
30,6475,Lucas Höler,34,2502,8,9.118673797696829,2,2.403396101668477,52,31,4,0,F M S,Freiburg,8,8.36097801104188,11.835267841815948,3.1390282306820154
31,6523,Milot Rashica,28,2295,8,6.465040408074856,5,2.692779100500047,73,40,2,0,F M S,Werder Bremen,6,4.19179043918848,8.431756626814604,4.147261442616582
32,29,Vedad Ibisevic,25,1270,7,6.342339411377907,2,2.8230319265276194,28,12,4,0,F S,Hertha Berlin,6,5.58464241027832,9.175641987472773,1.5728455260396004
33,213,Thorgan Hazard,33,2405,7,5.939620640128851,13,7.814636003226042,50,57,3,0,F M S,Borussia Dortmund,7,5.939620640128851,22.702956676483154,11.461065258830786
34,294,Gian-Luca Waldschmidt,23,1273,7,5.223063861951232,1,1.6328155994415283,43,12,3,0,F S,Freiburg,4,2.9498169850558043,6.183825356885791,2.1079131849110126
35,307,Suat Serdar,20,1609,7,3.162160972133279,0,0.9130660984665155,36,11,2,0,M S,Schalke 04,7,3.162160972133279,6.011642296798527,2.283893456682563
36,5706,Dodi Lukebakio,30,2050,7,7.522364592179656,6,5.295983085408807,40,36,2,0,F M S,Hertha Berlin,7,7.522364592179656,14.563424900174141,4.883585141971707
37,6045,Davy Klaassen,33,2946,7,7.190975025296211,5,3.0063155852258205,45,40,7,0,M,Werder Bremen,6,4.917728723958135,12.365771440789104,5.732599721290171
38,6338,Lucas Alario,24,1156,7,7.5658582504838705,1,1.5347132924944162,49,13,6,0,F S,Bayer Leverkusen,6,6.808081274852157,8.94996728375554,1.9757704120129347
39,7051,Gonçalo Paciência,23,1274,7,7.399673856794834,3,3.3845053985714912,51,22,4,0,F S,Eintracht Frankfurt,6,6.64197389036417,9.740148402750492,1.3569464962929487
40,7422,Christoph Baumgartner,26,1499,7,9.307568302378058,2,2.2625242983922362,56,18,3,0,F M S,Hoffenheim,7,9.307568302378058,11.336936973035336,1.6164424158632755
41,7879,Marius Bülter,32,2357,7,3.441751189529896,1,3.8247946482151747,41,26,1,0,D F M S,Union Berlin,7,3.441751189529896,7.673503904603422,1.8091041650623083
42,98,Kenan Karaman,20,1367,6,4.224242087453604,1,1.8742581829428673,32,21,4,0,F M S,Fortuna Duesseldorf,6,4.224242087453604,5.5860686376690865,0.5021210042759776
43,335,Leon Goretzka,24,1521,6,5.8480496518313885,5,3.0933356769382954,40,20,2,0,M S,Bayern Munich,6,5.8480496518313885,18.594171546399593,12.218801565468311
44,420,Patrick Herrmann,27,1454,6,6.845348335802555,6,4.826206833124161,40,27,4,0,F M S,Borussia M.Gladbach,6,6.845348335802555,14.836453877389431,4.4262816943228245
45,2676,Erik Thommy,34,2264,6,3.9937786422669888,4,4.896442476660013,61,38,3,0,D F M S,Fortuna Duesseldorf,6,3.9937786422669888,11.120151622220874,4.909937446005642
46,5717,Amine Harit,25,2117,6,3.072421475313604,4,3.3410077560693026,29,44,3,0,F M S,Schalke 04,5,2.31464449968189,9.375250519253314,4.974154824391007
